city_id,city_pop,culture_type,removed_pop
上海市,13634449,L,3272268
临沧市,2340664,G,561759
丽江市,1202280,G,288547
保山市,2523307,G,605594
大理市,3515595,G,843743
德宏州,1117424,G,268182
怒江州,517036,G,124089
文山州,3687407,G,884978
昆明市,5160421,G,1238501
昭通市,5734744,J,1376339
普洱市,2484701,G,596328
曲靖市,6254701,G,1501128
楚雄市,2609280,G,626227
玉溪市,2144412,G,514659
红河州,4406642,G,1057594
西双版纳,935748,G,224580
迪庆州,358513,G,86043
乌兰察布市,2864487,B,687477
乌海市,448817,B,107716
兴安盟,1666482,B,399956
包头市,2186256,B,524701
呼伦贝尔市,2714104,B,651385
呼和浩特市,2295149,B,550836
巴彦淖尔市,1859539,B,446289
赤峰市,4574421,B,1097861
通辽市,3188271,B,765185
鄂尔多斯市,1521292,B,365110
锡林郭勒盟,1005955,B,241429
阿拉善盟,193054,B,46333
北京市,12620487,E,3028917
吉林市,4340112,X,1041627
四平市,3403288,X,816789
延边朝鲜族自治州,2188962,X,525351
松原市,2898726,X,695694
白城市,2029056,X,486973
白山市,1037919,X,249101
辽源市,1219216,X,292612
通化市,2271909,X,545258
长春市,7575246,X,1818059
乐山市,3553207,J,852770
内江市,4239929,J,1017583
凉山彝族自治州,4774567,F,1145896
南充市,7465203,J,1791649
宜宾市,5415438,J,1299705
巴中市,3853976,J,924954
广元市,3122018,J,749284
广安市,4665653,J,1119757
德阳市,3871003,J,929041
成都市,11516393,J,2763934
攀枝花市,1109959,G,266390
泸州市,5043935,J,1210544
甘孜藏族自治州,1051715,F,252412
眉山市,3472481,J,833395
绵阳市,5416001,J,1299840
自贡市,3238681,J,777283
资阳市,5014937,J,1203585
达州市,6849307,J,1643834
遂宁市,3804390,J,913054
阿坝藏族羌族自治州,899453,F,215869
雅安市,1550411,J,372099
天津市,9889076,E,2373378
中卫市,1097994,D,263519
吴忠市,1368713,D,328491
固原市,1599271,D,383825
石嘴山市,744605,B,178705
银川市,1580405,D,379297
亳州市,5988240,E,1437178
六安市,7054701,E,1693128
合肥市,4928149,E,1182756
安庆市,6157688,L,1477845
宣城市,2767714,L,664251
宿州市,6396738,E,1535217
巢湖市,4607435,L,1105784
池州市,1592440,L,382186
淮北市,2199226,E,527814
淮南市,1989031,E,477367
滁州市,4475805,E,1074193
芜湖市,2316467,L,555952
蚌埠市,3620599,E,868944
铜陵市,739998,L,177600
阜阳市,10101297,E,2424311
马鞍山市,1270111,L,304827
黄山市,1477117,L,354508
东营市,1839442,E,441466
临沂市,10720970,E,2573033
威海市,2522776,E,605466
德州市,5678220,E,1362773
日照市,2877010,E,690482
枣庄市,3899736,E,935937
泰安市,5575958,E,1338230
济南市,6050413,E,1452099
济宁市,8389462,E,2013471
淄博市,4232095,E,1015703
滨州市,3762091,E,902902
潍坊市,8731202,E,2095488
烟台市,6465067,E,1551616
聊城市,5972904,E,1433497
菏泽市,9613259,E,2307182
青岛市,7593193,E,1822366
临汾市,4364141,D,1047394
吕梁市,3830915,D,919420
大同市,3171067,D,761056
太原市,3651331,D,876319
忻州市,3064383,D,735452
晋中市,3203874,D,768930
晋城市,2159720,D,518333
朔州市,1586284,D,380708
运城市,5040870,D,1209809
长治市,3240976,D,777834
阳泉市,1300640,D,312154
东莞市,1848314,M,443595
中山市,1511911,M,362859
云浮市,2832454,M,679789
佛山市,3793526,M,910446
广州市,7918929,M,1900543
惠州市,3345780,M,802987
揭阳市,6700313,M,1608075
梅州市,5148969,M,1235753
汕头市,1140118,M,273628
汕尾市,3434105,M,824185
江门市,3924087,M,941781
河源市,3562619,M,855029
深圳市,2610038,M,626409
清远市,4159270,M,998225
湛江市,7603864,M,1824927
潮州市,2594072,M,622577
珠海市,1056317,M,253516
肇庆市,4212117,M,1010908
茂名市,7459452,M,1790268
阳江市,2794503,M,670681
韶关市,3291641,M,789994
北海市,1653823,M,396918
南宁市,7057633,M,1693832
崇左市,2430421,M,583301
来宾市,2625588,M,630141
柳州市,3720494,M,892919
桂林市,4734400,M,1136256
梧州市,3257873,M,781890
河池市,4191677,M,1006002
玉林市,6724839,M,1613961
百色市,4048390,M,971614
贵港市,5246247,M,1259099
贺州市,1801659,M,432398
钦州市,3874276,M,929826
防城港市,907505,M,217801
乌鲁木齐市,2412521,C,579005
五家渠市,43224,C,10374
伊犁哈萨克自治州,2799608,C,671906
克孜勒苏柯尔克孜自治,504155,C,120997
克拉玛依市,277219,C,66533
博尔塔拉蒙古自治州,479337,C,115041
吐鲁番地区,634032,C,152168
和田地区,2031904,C,487657
哈密地区,568767,C,136504
喀什地区,4014875,C,963570
图木舒克市,148845,C,35723
塔城地区,1021570,C,245177
巴音郭楞蒙古自治州,1314639,C,315513
昌吉回族自治州,1397940,C,335506
石河子市,624589,C,149901
阿克苏地区,2322003,C,557281
阿勒泰地区,655026,C,157206
阿拉尔市,197765,C,47464
南京市,6270078,L,1504819
南通市,7627349,L,1830564
宿迁市,5460682,E,1310564
常州市,3597139,L,863313
徐州市,8434652,E,2024316
扬州市,4578766,L,1098904
无锡市,4672293,L,1121350
泰州市,5061205,L,1214689
淮安市,5413534,E,1299248
盐城市,8235931,E,1976623
苏州市,6374972,L,1529993
连云港市,4726287,E,1134309
镇江市,2694610,L,646706
上饶市,7395701,L,1774968
九江市,4979113,L,1194987
南昌市,5034521,L,1208285
吉安市,4935836,L,1184601
宜春市,5583692,L,1340086
抚州市,4018860,L,964526
新余市,1172108,L,281306
景德镇市,1586907,L,380858
萍乡市,1881174,L,451482
赣州市,9055639,L,2173353
鹰潭市,1197639,L,287433
保定市,10386271,E,2492705
唐山市,7302510,E,1752602
廊坊市,4179282,E,1003028
张家口市,4641673,E,1114002
承德市,3712563,E,891015
沧州市,7285230,E,1748455
石家庄市,9896722,E,2375213
秦皇岛市,2876368,E,690328
衡水市,4400203,E,1056049
邢台市,7313121,E,1755149
邯郸市,9638327,E,2313198
三门峡市,2231311,D,535515
信阳市,6109257,E,1466222
南阳市,9377768,E,2250664
