city_id,city_pop,culture_type,removed_pop
310000,13634449,L,3272268
530900,2340664,G,561759
530700,1202280,G,288547
530500,2523307,G,605594
532900,3515595,G,843743
533100,1117424,G,268182
533300,517036,G,124089
532600,3687407,G,884978
530100,5160421,G,1238501
530600,5734744,J,1376339
530800,2484701,G,596328
530300,6254701,G,1501128
532300,2609280,G,626227
530400,2144412,G,514659
532500,4406642,G,1057594
532800,935748,G,224580
533400,358513,G,86043
150900,2864487,B,687477
150300,448817,B,107716
152200,1666482,B,399956
150200,2186256,B,524701
150700,2714104,B,651385
150100,2295149,B,550836
150800,1859539,B,446289
150400,4574421,B,1097861
150500,3188271,B,765185
150600,1521292,B,365110
152500,1005955,B,241429
152900,193054,B,46333
110000,12620487,E,3028917
220200,4340112,X,1041627
220300,3403288,X,816789
222400,2188962,X,525351
220700,2898726,X,695694
220800,2029056,X,486973
220600,1037919,X,249101
220400,1219216,X,292612
220500,2271909,X,545258
220100,7575246,X,1818059
511100,3553207,J,852770
511000,4239929,J,1017583
513400,4774567,F,1145896
511300,7465203,J,1791649
511500,5415438,J,1299705
511900,3853976,J,924954
510800,3122018,J,749284
511600,4665653,J,1119757
510600,3871003,J,929041
510100,11516393,J,2763934
510400,1109959,G,266390
510500,5043935,J,1210544
513300,1051715,F,252412
511400,3472481,J,833395
510700,5416001,J,1299840
510300,3238681,J,777283
512000,5014937,J,1203585
511700,6849307,J,1643834
510900,3804390,J,913054
513200,899453,F,215869
511800,1550411,J,372099
120000,9889076,E,2373378
640500,1097994,D,263519
640300,1368713,D,328491
640400,1599271,D,383825
640200,744605,B,178705
640100,1580405,D,379297
341600,5988240,E,1437178
341500,7054701,E,1693128
340100,4928149,E,1182756
340800,6157688,L,1477845
341800,2767714,L,664251
341300,6396738,E,1535217
341700,1592440,L,382186
340600,2199226,E,527814
340400,1989031,E,477367
341100,4475805,E,1074193
340200,2316467,L,555952
340300,3620599,E,868944
340700,739998,L,177600
341200,10101297,E,2424311
340500,1270111,L,304827
341000,1477117,L,354508
370500,1839442,E,441466
371300,10720970,E,2573033
371000,2522776,E,605466
371400,5678220,E,1362773
371100,2877010,E,690482
370400,3899736,E,935937
370900,5575958,E,1338230
370100,6050413,E,1452099
370800,8389462,E,2013471
370300,4232095,E,1015703
371600,3762091,E,902902
370700,8731202,E,2095488
370600,6465067,E,1551616
371500,5972904,E,1433497
371700,9613259,E,2307182
370200,7593193,E,1822366
141000,4364141,D,1047394
141100,3830915,D,919420
140200,3171067,D,761056
140100,3651331,D,876319
140900,3064383,D,735452
140700,3203874,D,768930
140500,2159720,D,518333
140600,1586284,D,380708
140800,5040870,D,1209809
140400,3240976,D,777834
140300,1300640,D,312154
441900,1848314,M,443595
442000,1511911,M,362859
445300,2832454,M,679789
440600,3793526,M,910446
440100,7918929,M,1900543
441300,3345780,M,802987
445200,6700313,M,1608075
441400,5148969,M,1235753
440500,1140118,M,273628
441500,3434105,M,824185
440700,3924087,M,941781
441600,3562619,M,855029
440300,2610038,M,626409
441800,4159270,M,998225
440800,7603864,M,1824927
445100,2594072,M,622577
440400,1056317,M,253516
441200,4212117,M,1010908
440900,7459452,M,1790268
441700,2794503,M,670681
440200,3291641,M,789994
450500,1653823,M,396918
450100,7057633,M,1693832
451400,2430421,M,583301
451300,2625588,M,630141
450200,3720494,M,892919
450300,4734400,M,1136256
450400,3257873,M,781890
451200,4191677,M,1006002
450900,6724839,M,1613961
451000,4048390,M,971614
450800,5246247,M,1259099
451100,1801659,M,432398
450700,3874276,M,929826
450600,907505,M,217801
650100,2412521,C,579005
659004,43224,C,10374
654000,2799608,C,671906
653000,504155,C,120997
650200,277219,C,66533
652700,479337,C,115041
650400,634032,C,152168
653200,2031904,C,487657
650500,568767,C,136504
653100,4014875,C,963570
659003,148845,C,35723
654200,1021570,C,245177
652800,1314639,C,315513
652300,1397940,C,335506
659001,624589,C,149901
652900,2322003,C,557281
654300,655026,C,157206
659002,197765,C,47464
320100,6270078,L,1504819
320600,7627349,L,1830564
321300,5460682,E,1310564
320400,3597139,L,863313
320300,8434652,E,2024316
321000,4578766,L,1098904
320200,4672293,L,1121350
321200,5061205,L,1214689
320800,5413534,E,1299248
320900,8235931,E,1976623
320500,6374972,L,1529993
320700,4726287,E,1134309
321100,2694610,L,646706
